crate	module_path	mode	rule_id	domain_id	domain	domain_partition	entry_digest
core	core::alloc	detailed	DOM-ALLOC-CORE	D07	heap allocation and runtime	FRAME+LATER	915bd981a496eb24d71cacf78eab224fcfb77b272828e1a97bcad25c950f179a
core	core::any	detailed	DOM-REFLECT-CORE	D13	runtime type identity and reflection	LATER	54309e12158e93bb49d8776cac5beb0451b0bab95822dcb4f5cd8a76e5e5e574
core	core::arch	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	99c7ba449547843ddc6a30c9d127df00ce553ec62c2b691c54f45c5ade46fab2
core	core::arch::aarch64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	1fe68402b2513961b7b897db647c46601eabfafba357964d23e1c13461246e8e
core	core::arch::amdgpu	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	8e539d9de7fa28f34aeefc9ed54fd36e69ccd64b62efcb0556691881011b24aa
core	core::arch::arm	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	2177860ab489b63813827be3183d164db00bf6e5b03728c3070734bc279bea98
core	core::arch::hexagon	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	92495acd522e40cac3456621208b9d166bec72948136773e0002f03001d2ec6f
core	core::arch::hexagon::scalar	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	3f57b85895e10ad1c62e4523ad5a755d4e1b3240cd964c504bd0e6e386e123b0
core	core::arch::hexagon::v128	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	7ec8e95a809117892458c38078ac3e7727e86d93863b64ef58145daf76ed6fb3
core	core::arch::hexagon::v64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	1447a980fe9e5eacd934a7aa5553bb6bae89b4a2edde111a5e67eea7b3a906f1
core	core::arch::loongarch32	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	0052ea061e4e54f9cb7879f05eab15b948ceac09ca37b55314d2bb12d5fcbca7
core	core::arch::loongarch64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	93ac1af11b9f2c6810946daa66fd1c9218e76e285446ed32d537ee29ca7ec8c9
core	core::arch::mips	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	1887c5bb8f4cd6b756600ac84f0e7d056c4ab16a0a1874578f470c0cea96acd1
core	core::arch::mips64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	5521f97da3c252028fe6a476f2be4c31791b5dcf4ddc090e18eb5249196b8785
core	core::arch::nvptx	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	05377f25c1da48edd8d82d019252bd971c42c0a41b5b8299304fbd5dec464102
core	core::arch::powerpc	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	5e72255dd6479a44fd21acb167acccaed594d36ea0b3f39d1fedcbff3b34a11a
core	core::arch::powerpc64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	4e1c659d4ddc5e42a9a9a7bd77656bf058a04e79ec49ac94fa025ec54e543d32
core	core::arch::riscv32	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	2f471d089a3a73bf42338bb688d524a2d71952a07f4bd669d9b734e1f4c86ab5
core	core::arch::riscv64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	1fe6f21ce45ae13dbc1765341d6efb087337be88190cafcdc865a7581fe06e07
core	core::arch::s390x	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	90fff64bdc8d18b83c133c1fb20a2dfe4b320326278e4627378c2026d2142968
core	core::arch::wasm	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	23a485f33f887ebc4eef751a5a51defce9f5aff1816cfe8acfe0bbdc5f6498a3
core	core::arch::wasm32	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	5ccaaa9ef600fd00af4839dd2a849fb4359a6f81df708800ec358daf2800eb6c
core	core::arch::wasm64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	4bc50f31480f5563315e5f3fd607842dd12e09e5aa34b0683c383286e9fd6a8d
core	core::arch::x86	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	d87953a2c26becb6311a1b86fbd302f1099c00807d1ac96428cff93dee5fce9a
core	core::arch::x86_64	collapsed	DOM-TARGET-ARCH	D24	target intrinsics and dispatch	FRAME+LATER+NG	59d2ea730ada76fa46d7615b661926ab50d2a52a2dda8e82a124f7b7f1550015
core	core::array	detailed	DOM-DATA-ARRAY-CORE	D09	sequential data structures	G0	3b886b010ebbebafab002ac2c88037b44e77995210f1c76785e261a253895296
core	core::ascii	detailed	DOM-TEXT-ASCII-CORE	D11	bytes and text	LIB	390585b5ac8d6910ec281a837fe13409c8d8cb96629e85787932ccda75f62221
core	core::async_iter	detailed	DOM-LANG-ASYNC-ITER-CORE	D23	async, tasks, and pinning	LATER	06e42362bc78cfe1bcee7d150f906b991429e7bcb8861222a94ebb72c55d74db
core	core::autodiff	detailed	DOM-UNSTABLE-AUTODIFF-CORE	D01	numeric values and algorithms	LATER	31ca0bd8219dd347d9ee634ab3d51a747ac0e6fd86e3158ca153fecc5b563a76
core	core::borrow	detailed	DOM-BEHAVIOR-BORROW-CORE	D03	static behavior and views	G0+LIB	834c877c1fa336e3b4ab5bdb634d61b4ffdce1f407f4f70726f754ad53e7d109
core	core::bstr	detailed	DOM-TEXT-BSTR-CORE	D11	bytes and text	LIB+LATER	fb288c9ab10f24853d74992d49c7ce57e6e06b54cca493b33c0581bbbd939676
core	core::cell	detailed	DOM-SHARED-CELL-CORE	D08	interior mutability and dynamic aliasing	G0+LATER+NG	7bd95e26ba49c388cdbe875ef1e56100431924459a6b5e8b8179d00843ef963d
core	core::char	detailed	DOM-TEXT-CHAR-CORE	D11	bytes and text	G0+LIB+LATER	d5576babb7287e268cb38cf5d7f240f3b16f5b1d7a04509cfe58e0021741a687
core	core::clone	detailed	DOM-BEHAVIOR-CLONE-CORE	D03	static behavior contracts	G0+LIB	1c9fb24f44fde9eeb7591ca6b1003e6c47ca5d154b6674400e11943caea7ad4e
core	core::cmp	detailed	DOM-BEHAVIOR-CMP-CORE	D03	static behavior contracts	G0+LIB	96fe228654cd74bcd3c0ae73989d9ede03ab72cb38f8566f6620ee3a8dc4d027
core	core::contracts	detailed	DOM-UNSTABLE-LANG-CONTRACTS	D02	language organization and abstraction	LATER	1e892d11fe07e443b81e2aabc7adbf54128b22a189325ce03b0cbad4733ada22
core	core::convert	detailed	DOM-BEHAVIOR-CONVERT-CORE	D03	conversion and behavior	LIB+RED	3877fd0292fe50072dbf9a0189adaafa7857f34f09d0d1a1e27a1991c651efb1
core	core::default	detailed	DOM-BEHAVIOR-DEFAULT-CORE	D03	conversion and behavior	LIB+RED	1aa56ff28f9a780063c51bf8b29db9fc7fe02e7399ab3a74f53dbdd588bf0881
core	core::error	detailed	DOM-ERROR-CORE	D05	error presentation and chaining	LIB+LATER	364d20aac15e1e7aba876352b387821002911e5e1f2fb0d07adca5fa83bdbba3
core	core::f128	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	8ac18a084c4523482b9cc115a06cf08de1a0fd18bca4d7f3892dc6d9856c9495
core	core::f128::consts	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	283fb0c518dc609169a79f52cd7ae6c32125e1757c034103f81a32f2ee3d8374
core	core::f16	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	56628567c72c54b9d615b30ae1773372fe5cff212bf308f80fd0d49143c21cb4
core	core::f16::consts	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	8b86afe9a66788e390a735417f65d26a995059e3c0416b6be8098c22fb1a5929
core	core::f32	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	6131be71a5fcc29f4c29b406dd742a7ddae493ba4cab8f64eb83f66029bdbf05
core	core::f32::consts	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	7da31875dd925cd4c5e74149253ba8be96fbf3f431c76781d3ea37492cd45707
core	core::f32::math	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	f26dd2dc8515f5da3e048c1d79564af854923f2b9ed44e4f9f9d394bab2923b6
core	core::f64	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	8e4cba0ee9c78ee2d40b779dd0babb1f1f1c43d527a145e7d2d45e663e57476a
core	core::f64::consts	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	3ae95c13af4c39687ba737e2a2738d2c42989b14a4f5e478031e185b2ef28e5e
core	core::f64::math	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	1c9887b3d4f1821a0293da1a7eb888df820da0b212c8d0e6ea0f8cd205dccb24
core	core::ffi	detailed	DOM-FFI-CORE	D18	FFI, ABI, and OS resources	FRAME+LATER+NG	8b0ac1bbd7b3385fc77ef5f56d8941c3d3df4fd052804e1a0e077dbfab1c87ac
core	core::ffi::c_str	detailed	DOM-FFI-CORE	D18	FFI, ABI, and OS resources	FRAME+LATER+NG	37ca3a3a1be9c549b3de0774ca36a888c4dd785f5a5e2f414f91623be0dd6b45
core	core::field	detailed	DOM-UNSTABLE-LANG-FIELD	D02	language organization and abstraction	LATER	4c09dae66451d050ceb151625c2c65131726f2a72092125a3f25b7bf5d05dad9
core	core::fmt	detailed	DOM-FMT-CORE	D12	formatting and presentation	LIB+LATER	98fb9c275c87cd8cfa3eda755ef14ede45dae69bc04b0b2f78f355aeeaf234bc
core	core::from	detailed	DOM-UNSTABLE-LANG-FROM	D03	conversion and behavior	LATER	fd6ae991737b3d06ff6b3705694cfb6c8d7f95575fe30271fc329bf7621027ae
core	core::future	detailed	DOM-LANG-FUTURE-CORE	D23	async, tasks, and pinning	LATER	1eed01244a2bb9551f409a27dcd71cdedf80fa9c6593a803cafc8744c85e3853
core	core::hash	detailed	DOM-BEHAVIOR-HASH-CORE	D03	static behavior contracts	G0+LIB+LATER	cf635b0cbfe158c870eaf84e0cc8fca3f89d97f483af7f79e3bc80e43b519b33
core	core::hint	detailed	DOM-TARGET-HINT-CORE	D24	target/compiler hints	FRAME+LATER+NG	c0e13d279f061bc5630ba7d3b23b05eea85c735b4578e9eb1d0a3d4bddbd47ed
core	core::i128	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	080452d8d8439652954cc08787f90395c3227b4d1bf238e846ad9073c95e675b
core	core::i16	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	2ab6a1a1d75b50abe9e5ccba9f87006e5adb7b53261f01e51b73b9723b5ab517
core	core::i32	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	fe92c8d0ea6a47ee4c31f063eb031a3fa15e9b3cae0c0a743b0fdd32c077a917
core	core::i64	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	42c2190f1a4f33c2ac49a023d6a33c85b0a2ce5c09ead6596fdf0d3c58f5a5ed
core	core::i8	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	383a130f1906109fa33c0747c928d8f9b354de51dffe6c73d3dfa92dece9706a
core	core::index	detailed	DOM-UNSTABLE-LANG-INDEX	D02	language organization and abstraction	LATER	d5e4c42d4c255e3c739ca795ac5482e21f22bcce6c6099af1338d87567236fd3
core	core::intrinsics	collapsed	DOM-TARGET-INTRINSICS-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	eeea939c6a49569ed61103d26a8ec62f350dedae4c2cda5e3f59974b75420273
core	core::intrinsics::fallback	collapsed	DOM-TARGET-INTRINSICS-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::intrinsics::mir	collapsed	DOM-TARGET-INTRINSICS-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	5ff86715ab765dc1bd2bdbef8a42e6644412265d4bbfc1d298d02a80e244ef2f
core	core::intrinsics::simd	collapsed	DOM-TARGET-INTRINSICS-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	914498ee26135fa1c7b972b40137f22ce3a57b817ba2a93db5c08d549b38fa8c
core	core::intrinsics::simd::scalable	collapsed	DOM-TARGET-INTRINSICS-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	31902e8dc36f5970b8154544caa2a8ab5741f23569f50339bc116fa4e013483f
core	core::io	detailed	DOM-IO-CORE	D15	synchronous I/O	LIB+LATER	eca0da56dc19d895fc63e80ac66920cc3c625b157407f7ebe66d5bf29673e358
core	core::isize	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	36a8a3cc66604d36a81b7c5d0afa4d301ffdcd2e30b32867a24f5e5329a63a4e
core	core::iter	detailed	DOM-ITER-CORE	D10	synchronous iteration	G0+LIB	304bb317b49f43b0d7f80c1f149e26c13e8d888ea00e6305b6798557b6be0c1b
core	core::marker	detailed	DOM-OWN-MARKER-CORE	D03	ownership and capability predicates	G0+LATER+RED	cd0362acef266eaadc1f5db5f625c7ed48b25f7f54ef0e8aeebf53e87b6b9fe8
core	core::mem	detailed	DOM-OWN-MEM-CORE	D04	ownership, layout, and value transitions	G0+LATER+NG	5c439d2ccb9781a59da1729b7a56f16ad52fe319a26bc04fc6bda43237955b5a
core	core::mem::type_info	detailed	DOM-OWN-MEM-CORE	D04	ownership, layout, and value transitions	G0+LATER+NG	4e47e9013f41b6f9ade1cd4ea5fd9d296d89a424d408b463eb3b8b742f6671e9
core	core::net	detailed	DOM-NET-CORE	D19	networking	LIB+LATER	b21ba61ce5d5720f8938191795841a6580d44a0f6f99fd2fe336020be70f608e
core	core::num	detailed	DOM-NUMERIC-CORE	D01	numeric values and algorithms	G0+LIB+LATER	291b852349ea7f91ce12ea8081aefa460b35974d4c033b25325a9fe7e5ca3c05
core	core::ops	detailed	DOM-LANG-OPS-CORE	D02	language organization and abstraction	G0+LATER+RED	3fb8a9c0d2e38a202a98979b012df3230b174b38354bbd79c2690a038e4003ce
core	core::option	detailed	DOM-ERROR-OPTION-CORE	D05	recoverable results and variants	G0+LIB	9eb0b62ee7cba1cf947c334a3b9e1083eab01990e1002774e89d0cccbc8fdd48
core	core::os	detailed	DOM-OS-CORE	D18	FFI, ABI, and OS resources	FRAME+LATER	bbaf52c4325261a1e631506ba6e20b734c18b4ee7029f2a639626d5837829dd0
core	core::os::darwin	detailed	DOM-OS-CORE	D18	FFI, ABI, and OS resources	FRAME+LATER	04ae60124fda59718d63693d4c0d5bf32a686d4b6be2396819c056310b5fd3f3
core	core::os::darwin::objc	detailed	DOM-OS-CORE	D18	FFI, ABI, and OS resources	FRAME+LATER	aa60aefb9098cb33d6b9066838faf547a372e9ec6d88ae7a8fba49f9adbdb40b
core	core::panic	detailed	DOM-PANIC-CORE	D06	trap, panic, and diagnostics	G0+FRAME+NG	a2db60790f3bc6ce64b7338ed938e5d84ad02ec4d85d8da745fd3d06a4a36f31
core	core::panicking	detailed	DOM-UNSTABLE-RUNTIME-HOLDING	D26	compiler and runtime support	FRAME+LATER+NG	32187c0083f8697c02f2a0cd1ded18d86cc2306334872ac8c7483de3a721c683
core	core::pat	detailed	DOM-UNSTABLE-LANG-PAT	D02	language organization and abstraction	LATER	81cf68b0c204bd78855f2e8194d2a4b16abe3f2e0b82d3dca80f87cffc53c4e2
core	core::pin	detailed	DOM-LANG-PIN-CORE	D23	pinning and address-sensitive values	LATER	6a63f02de43fc740191be011d629615f6bb3733b363faa91464c3303e4bd61b0
core	core::prelude	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	af0f9efda92779d694bcc2abab0bc0ed7fbef20443572970b66df1309b76faec
core	core::prelude::rust_2015	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::prelude::rust_2018	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::prelude::rust_2021	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::prelude::rust_2024	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::prelude::v1	detailed	DOM-PRELUDE-CORE	D25	prelude and reexports	RED	8106b4085337101b5913cde8e90a1c6f71da296f714745a286a3503a730ae4e2
core	core::primitive	detailed	DOM-PRIMITIVE-CORE	D01	scalar and aggregate values	G0+LATER+RED	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::process	detailed	DOM-PROCESS-CORE	D17	process environment	FRAME+LATER	d071dae1e92c4b5c8dd35629827e5a9cd0aaace79341bd827f4f6bc30327229a
core	core::profiling	detailed	DOM-UNSTABLE-TARGET-PROFILING	D24	target/compiler hints	FRAME+LATER+NG	e4cfc9af5f6f9620efe96be6d5d20ef858338a82969dd9766ad3f98bd69570c4
core	core::ptr	detailed	DOM-RAW-PTR-CORE	D04	raw pointers and provenance	FRAME+NG	c81ff3ef901e0f2850225e5423f99a85dfb49c77e917cde252572c7a1a47a2e1
core	core::random	detailed	DOM-UNSTABLE-RUNTIME-HOLDING	D26	compiler and runtime support	FRAME+LATER+NG	f6c5614ccb3c71e2cb2bec177f0575f8d04a09dc79932e6ccbab8c7ee2a15ae5
core	core::range	detailed	DOM-RANGE-CORE	D10	ranges and traversal	G0+LIB	efc412ba0a5727334ac955f0c81c7a94ad0dde0313b1a2c5b7547f1f8484c7b5
core	core::range::legacy	detailed	DOM-RANGE-CORE	D10	ranges and traversal	G0+LIB	a0d90106fab0d399a31123dc6e117ab232038765a6a1f7dffd6187e9f609f282
core	core::result	detailed	DOM-ERROR-RESULT-CORE	D05	recoverable results and variants	G0+LIB	07cbe6a092123584f028a81d114c53ed43a856ca3f027a6081f7dd27dea703db
core	core::simd	detailed	DOM-UNSTABLE-TARGET-SIMD-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	99ad410486a8de621c41403d4d13487193b18922c9926e6f3fe2d272881cfaa0
core	core::simd::cmp	detailed	DOM-UNSTABLE-TARGET-SIMD-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	5d337cdaef75229386bbe8dd80e7ba220d24fd0589a07e1fdb1d92592d53facf
core	core::simd::num	detailed	DOM-UNSTABLE-TARGET-SIMD-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	196960547ded427b483570f33f8ad6e5652b019e8787c6d52d37562af1c8299e
core	core::simd::prelude	detailed	DOM-UNSTABLE-TARGET-SIMD-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
core	core::simd::ptr	detailed	DOM-UNSTABLE-TARGET-SIMD-CORE	D24	target intrinsics and dispatch	FRAME+LATER+NG	68d36b8aea437b43330b1e374f62ad9221f7bc1aff907ffd408178827e15ad5c
core	core::slice	detailed	DOM-DATA-SLICE-CORE	D09	sequential data structures	G0	cd19af8e6aa40f6ca689eb2679639ec8c1db88a948dcb90ddd48aa76100bd847
core	core::str	detailed	DOM-TEXT-STR-CORE	D11	bytes and text	G0+LIB+LATER	bd8c42cc6000687ef2258c6bf17c5f3f6d01bf42e9e37454c5ad6d3759151839
core	core::str::pattern	detailed	DOM-TEXT-STR-CORE	D11	bytes and text	G0+LIB+LATER	f9ea1435f14a98f4d9853ed0587fda3c3e93a00ea1650bb563477f5f8fb2d8ab
core	core::sync	detailed	DOM-SYNC-CORE	D22	atomics and synchronization	FRAME+LATER	5e340cc72ae8afc23ad99ec2f34f75413b16e08e7a6c7632663b384d326809fa
core	core::sync::atomic	detailed	DOM-SYNC-CORE	D22	atomics and synchronization	FRAME+LATER	c509fd6f5048599ee1f1e38d90723ee00fb92d97d3fc21ec2d9a101ea8bd3270
core	core::task	detailed	DOM-LANG-TASK-CORE	D23	async, tasks, and pinning	LATER	bcb128a41b71f47814795eb8302d9cbf92ae511484dae42865a915d202c30d00
core	core::time	detailed	DOM-TIME-CORE	D20	time and clocks	LIB+LATER	02671d3563482c01a559ea1badd1b678bc513bb859f00864cf24c6a4f854fd59
core	core::u128	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	f16b8c04035bc5f4f8c8b2911e277d9b9bc11930b38a7e99c53497d246c14809
core	core::u16	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	40479369d5142cf65348409c98efdae7e9309132537dc25565db3a90743774d6
core	core::u32	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	6a6d90d9e88fc18c592cb6109a532e7e734a37efbb5730d35035dbd46db471bc
core	core::u64	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	932f32ac4f63ae8118836d89ffc597b9f05e32f872f418656d41e88f30ecaf6b
core	core::u8	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	1a902ae2d51bed89897505741068ec6bcd56d1c8085c81d261e7d2fe4cd15bfe
core	core::ub_checks	detailed	DOM-UNSTABLE-TARGET-UB-CHECKS	D24	target/compiler hints	FRAME+LATER+NG	cc04d19edeec5cfa2df0b7857409d42ded2f4131848efa1310d3160cf7a373d0
core	core::unsafe_binder	detailed	DOM-UNSTABLE-TARGET-BINDER	D02	language organization and abstraction	LATER+NG	ee2ccf673d64b043bca9018eb3fbc129a88e8520509f87cf426f064c338fd196
core	core::usize	detailed	DOM-NUMERIC-PRIMITIVES	D01	numeric values and algorithms	G0+LIB+LATER	82b595e81562399d18d6bf258b199cf4c398db60a4a06f29834c514a58a65cdf
std	std	detailed	DOM-MODULE-ROOT	D25	prelude and reexports	RED	968a3572bfaead578a8e77343798b1b0ffb728b1cf1699bb8fc9d50f69325358
