schema_version	candidate_id	meta5_delta_id	cumulative_meta5_delta_ids	operation_id	signature	precondition	owner_result	allocation_result	borrow_result	fact_result	normal_exit_effect	authorization_status
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-COMMIT	commit<T>(move Transition<T>) -> Dense<T>	STATE proves exactly one live prefix [0,len), one dead suffix, and ValidDense.	Dense<T> becomes sole owner of master allocation and payload owners.	Allocation authority transfers without acquisition or release.	Only declared result borrows may be created after commit.	Open-state facts end; exact Dense facts are produced for the same root and successor version.	Sole conversion to ordinary dense owner.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-RETURN_FAILURE	return_failure<T,E>(move Transition<T>,move offered...,error:E) -> ExactFailure<T,E>	The exact contract is at its last recoverable point before destructive commitment.	Returns unchanged base owner and every offered affine owner named by the exact contract.	Old allocation/root/version are unchanged.	Borrow ledger is unchanged and compatible.	Fact ledger is byte-identical to the pre-call logical state.	Only legal for a recoverable exact outcome.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-EXIT_POLICY	compiler_exit_policy<T>(move-or-open Transition<T>) -> declared normal result	A normal exit reaches a candidate-specific partial state.	Owner result is exactly the lifecycle row; no writer convention fills gaps.	Release authority follows the lifecycle row.	No escaped incompatible borrow.	Every open-state fact ends or transfers exactly as the lifecycle row states.	REJECT every fallthrough, return, break, give, try, callback stop/error, or helper return that reaches the edge before exactly one transition_commit. Automatic action: NONE	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-ARR-EACH-01-DENSE-FIXED-EACH	adapter<DENSE-FIXED-EACH>(move-or-borrow Transition<T>; Shared or unique ARRAY borrow) -> one exact registered outcome	ARRAY is a valid fixed array and borrow mode is fixed. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-FIXED-EACH::ARR-EACH-01::COMMON-NON-OD1::SUCCESS	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-ARR-MAP-01-DENSE-FIXED-MAP	adapter<DENSE-FIXED-MAP>(move-or-borrow Transition<T>; ARRAY owner; FN environment; N input owners) -> one exact registered outcome	ARRAY and FN are owned; ARRAY has N live values. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-MOVE_OUT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-FIXED-MAP::ARR-MAP-01::COMMON-NON-OD1::SUCCESS,DENSE-FIXED-MAP::ARR-MAP-01::COMMON-NON-OD1::BEHAVIOR_ABORT	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-ARR-VIEW-01-DENSE-FIXED-VIEW	adapter<DENSE-FIXED-VIEW>(move-or-borrow Transition<T>; Shared or unique ARRAY borrow) -> one exact registered outcome	ARRAY is a valid fixed array. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-FIXED-VIEW::ARR-VIEW-01::COMMON-NON-OD1::SUCCESS	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-BOX-INIT-01-DENSE-BOX-INIT-EVIDENCE	adapter<DENSE-BOX-INIT-EVIDENCE>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Box-specific partial initialization evidence is requested. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-INIT-WRITE-01-DENSE-INIT-CLONE	adapter<DENSE-INIT-CLONE>(move-or-borrow Transition<T>; DEST allocation owner; shared SRC borrow) -> one exact registered outcome	DEST has exactly N dead slots; SRC has N valid shared values; Clone is available. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-INIT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-ALLOCATE_DIVERGENT,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS,DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::UNDERFILL_CLOSE_REJECTED,DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::OVERFILL_REJECTED,DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-INIT-WRITE-01-DENSE-INIT-COPY	adapter<DENSE-INIT-COPY>(move-or-borrow Transition<T>; DEST allocation owner; shared SRC borrow) -> one exact registered outcome	DEST has exactly N dead slots; SRC has N valid Copy values. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-INIT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-ALLOCATE_DIVERGENT,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-INIT-COPY::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS,DENSE-INIT-COPY::INIT-WRITE-01::COMMON-NON-OD1::UNDERFILL_CLOSE_REJECTED,DENSE-INIT-COPY::INIT-WRITE-01::COMMON-NON-OD1::OVERFILL_REJECTED	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-MEM-REPLACE-01-DENSE-REPLACE	adapter<DENSE-REPLACE>(move-or-borrow Transition<T>; Old PLACE owner; VALUE owner) -> one exact registered outcome	PLACE is live under unique authority; VALUE is owned. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-MOVE_OUT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-REPLACE::MEM-REPLACE-01::COMMON-NON-OD1::SUCCESS	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-MEM-TAKE-01-DENSE-TAKE-WITH-DEFAULT	adapter<DENSE-TAKE-WITH-DEFAULT>(move-or-borrow Transition<T>; Old PLACE owner) -> one exact registered outcome	PLACE is live under unique authority and Default is available. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-MOVE_OUT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS,DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-SAFE-SPARE-01-DENSE-RAW-SPARE-REJECTED	adapter<DENSE-RAW-SPARE-REJECTED>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Writer requests a view of spare or dead slots as T. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-RAW-SPARE-REJECTED::RAW-SAFE-SPARE-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-UNSAFE-ACCESS-01-DENSE-UNCHECKED-ACCESS-EVIDENCE	adapter<DENSE-UNCHECKED-ACCESS-EVIDENCE>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Writer requests unchecked access. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-UNCHECKED-ACCESS-EVIDENCE::RAW-UNSAFE-ACCESS-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-UNSAFE-ALIGN-01-DENSE-ALIGN-EVIDENCE	adapter<DENSE-ALIGN-EVIDENCE>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Writer requests unchecked alignment/type-punning authority. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-UNSAFE-INIT-01-DENSE-INIT-AUTHORITY-EVIDENCE	adapter<DENSE-INIT-AUTHORITY-EVIDENCE>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Writer requests forgeable initialization authority. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-INIT-AUTHORITY-EVIDENCE::RAW-UNSAFE-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-UNSAFE-LEN-01-DENSE-LEN-AUTHORITY-EVIDENCE	adapter<DENSE-LEN-AUTHORITY-EVIDENCE>(move-or-borrow Transition<T>; NONE) -> one exact registered outcome	Writer requests forgeable live-length authority. Closed primitive dependencies: COMMON-NON-OD1=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-LEN-AUTHORITY-EVIDENCE::RAW-UNSAFE-LEN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	adapter<DENSE-APPEND-MOVE>(move-or-borrow Transition<T>; DEST owner; SRC owner) -> one exact registered outcome	DEST and SRC are valid dense owners; no incompatible borrow is live. Closed primitive dependencies: OD-1-RECOVERABLE-MUTATORS=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-INIT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-ALLOCATE_RECOVERABLE,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY,OP-ATOMIC_TRANSITIONS-RETURN_FAILURE;OD-1-RESERVE-FIRST=OP-ATOMIC_TRANSITIONS-BEGIN,OP-ATOMIC_TRANSITIONS-INIT,OP-ATOMIC_TRANSITIONS-RELOCATE,OP-ATOMIC_TRANSITIONS-DESTROY,OP-ATOMIC_TRANSITIONS-ALLOCATE_DIVERGENT,OP-ATOMIC_TRANSITIONS-COMMIT,OP-ATOMIC_TRANSITIONS-EXIT_POLICY	Exactly one contract_id from: DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN,DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	Exactly allocation_disposition of the selected contract_id.	Exactly borrow_invalidation of the selected contract_id.	Exactly fact_invalidation of the selected contract_id.	Exactly normal_exit_cleanup of the selected contract plus the candidate lifecycle row.	REFERENCE_ADAPTER_ONLY_CONSTRUCTION_NOT_AUTHORIZED
