performance_unit_id	contract_id	member_contract_id	outcome_id	cluster_id	policy_variant_id	profile_id	source_contract_status	source_contract_sha256	derivation_kind	disposition	representative_operation_gate_id	structural_gate_ids	functional_oracle_id	exact_reason	status
PERFUNIT-FB850C51597380385191	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::EMPTY_NO_CHANGE	DENSE-CLEAR	DENSE-CLEAR.SEQ-TRUNCATE-01.OUT.EMPTY_NO_CHANGE	SEQ-TRUNCATE-01	COMMON-NON-OD1	CLEAR	REQUIRED_IN_LOCK	fb850c51597380385191f8617389859dfc0be3aa86374216e19c08ac4b9d78e5	STRUCTURAL	STRUCTURAL_ONLY	NONE	SG-EXACT-ORACLE,SG-OWNER-EVENTS	NONE	Exact state-only, empty, cursor-lifecycle, or repeated-terminal outcome is admitted only by its own deterministic structural oracle and cannot supply a timing benefit. Contract DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::EMPTY_NO_CHANGE has frozen outcome EMPTY_NO_CHANGE, profile CLEAR, policy COMMON-NON-OD1, and source row fb850c51597380385191f8617389859dfc0be3aa86374216e19c08ac4b9d78e5.	FROZEN_PROTOCOL
PERFUNIT-2D7F3CAA00E58CEDEE1A	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED	DENSE-CLEAR	DENSE-CLEAR.SEQ-TRUNCATE-01.OUT.ALL_VALUES_DESTROYED	SEQ-TRUNCATE-01	COMMON-NON-OD1	CLEAR	REQUIRED_IN_LOCK	2d7f3caa00e58cedee1a7e8df7e085b89edb64a4253f72c1f7578f22d520eea2	REPRESENTATIVE	TIMED_PRIMARY	OPG-05528DC14E76B4534AAE	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED has frozen outcome ALL_VALUES_DESTROYED, profile CLEAR, policy COMMON-NON-OD1, and source row 2d7f3caa00e58cedee1a7e8df7e085b89edb64a4253f72c1f7578f22d520eea2.	FROZEN_PROTOCOL
PERFUNIT-63E875BD4297F2BF8258	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::SUCCESS	DENSE-CLONE-FROM	DENSE-CLONE-FROM.TRAIT-CLONE-01.OUT.SUCCESS	TRAIT-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	63e875bd4297f2bf8258e67e9c6e5f19f4136f2fe4c64c2b775fa997a7546b5d	REPRESENTATIVE	TIMED_PRIMARY	OPG-C41F1B5240DF98401BF6	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::SUCCESS has frozen outcome SUCCESS, profile CLONE_FROM, policy COMMON-NON-OD1, and source row 63e875bd4297f2bf8258e67e9c6e5f19f4136f2fe4c64c2b775fa997a7546b5d.	FROZEN_PROTOCOL
PERFUNIT-A41F4DD824DB24BD5F2F	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	DENSE-CLONE-FROM	DENSE-CLONE-FROM.TRAIT-CLONE-01.OUT.BOUNDS_TRAP	TRAIT-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	a41f4dd824db24bd5f2f6ac930e52ce6ec0001a02403c3bc813709cd23e7194f	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP has frozen outcome BOUNDS_TRAP, profile CLONE_FROM, policy COMMON-NON-OD1, and source row a41f4dd824db24bd5f2f6ac930e52ce6ec0001a02403c3bc813709cd23e7194f.	FROZEN_PROTOCOL
PERFUNIT-F3D940D18A3092CE9D36	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	DENSE-CLONE-FROM	DENSE-CLONE-FROM.TRAIT-CLONE-01.OUT.BEHAVIOR_ABORT	TRAIT-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	f3d940d18a3092ce9d36164a864da856e2f59c655c1b30b00196144f9b395918	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT has frozen outcome BEHAVIOR_ABORT, profile CLONE_FROM, policy COMMON-NON-OD1, and source row f3d940d18a3092ce9d36164a864da856e2f59c655c1b30b00196144f9b395918.	FROZEN_PROTOCOL
PERFUNIT-EDB0D947369855EFC27E	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::SUCCESS	DENSE-CLONE-FROM	DENSE-CLONE-FROM.VIEW-CLONE-01.OUT.SUCCESS	VIEW-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	edb0d947369855efc27e730fe0a3fabb3c93ad22b40e88e262d65a75ff76de86	REPRESENTATIVE	TIMED_PRIMARY	OPG-C41F1B5240DF98401BF6	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::SUCCESS has frozen outcome SUCCESS, profile CLONE_FROM, policy COMMON-NON-OD1, and source row edb0d947369855efc27e730fe0a3fabb3c93ad22b40e88e262d65a75ff76de86.	FROZEN_PROTOCOL
PERFUNIT-34913B0B0912BCA43928	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	DENSE-CLONE-FROM	DENSE-CLONE-FROM.VIEW-CLONE-01.OUT.BOUNDS_TRAP	VIEW-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	34913b0b0912bca43928ab8bbcb7c70619e0e58fa88ba65fc306fb81c8951aa1	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP has frozen outcome BOUNDS_TRAP, profile CLONE_FROM, policy COMMON-NON-OD1, and source row 34913b0b0912bca43928ab8bbcb7c70619e0e58fa88ba65fc306fb81c8951aa1.	FROZEN_PROTOCOL
PERFUNIT-17F1BC908E5A95D0DC41	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	DENSE-CLONE-FROM	DENSE-CLONE-FROM.VIEW-CLONE-01.OUT.BEHAVIOR_ABORT	VIEW-CLONE-01	COMMON-NON-OD1	CLONE_FROM	REQUIRED_IN_LOCK	17f1bc908e5a95d0dc41f5d23e3ae0f1e4a1a01f1785f15b48e77f468de46f91	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT has frozen outcome BEHAVIOR_ABORT, profile CLONE_FROM, policy COMMON-NON-OD1, and source row 17f1bc908e5a95d0dc41f5d23e3ae0f1e4a1a01f1785f15b48e77f468de46f91.	FROZEN_PROTOCOL
PERFUNIT-AC9E751A7E7636D63393	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.SUCCESS	TRAIT-COLLECT-01	OD-1-RESERVE-FIRST	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	ac9e751a7e7636d63393e1bdbc03a2022b04ff79d2452ad8862a66af11ff1b04	REPRESENTATIVE	TIMED_PRIMARY	OPG-33FE8394526D870FB1BC	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS has frozen outcome SUCCESS, profile OD1_CONSTRUCTOR, policy OD-1-RESERVE-FIRST, and source row ac9e751a7e7636d63393e1bdbc03a2022b04ff79d2452ad8862a66af11ff1b04.	FROZEN_PROTOCOL
PERFUNIT-BA5858E60589FB85F993	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.CAPACITY_OVERFLOW_TRAP	TRAIT-COLLECT-01	OD-1-RESERVE-FIRST	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	ba5858e60589fb85f993b1cb85d5ef689c1db433bfa072844222733f6d834217	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP has frozen outcome CAPACITY_OVERFLOW_TRAP, profile OD1_CONSTRUCTOR, policy OD-1-RESERVE-FIRST, and source row ba5858e60589fb85f993b1cb85d5ef689c1db433bfa072844222733f6d834217.	FROZEN_PROTOCOL
PERFUNIT-D8DC9DF4DA412F07ED47	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::OOM_ABORT	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.OOM_ABORT	TRAIT-COLLECT-01	OD-1-RESERVE-FIRST	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	d8dc9df4da412f07ed47093fd087154ed61a1d43bc4ef00b81ea5b62e8bf1375	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::OOM_ABORT has frozen outcome OOM_ABORT, profile OD1_CONSTRUCTOR, policy OD-1-RESERVE-FIRST, and source row d8dc9df4da412f07ed47093fd087154ed61a1d43bc4ef00b81ea5b62e8bf1375.	FROZEN_PROTOCOL
PERFUNIT-8E263F9DF6EEA30F37F9	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::BEHAVIOR_ABORT	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.BEHAVIOR_ABORT	TRAIT-COLLECT-01	OD-1-RESERVE-FIRST	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	8e263f9df6eea30f37f9bec9ad32482d8f46529aade3c073a5734a35158b1b48	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::BEHAVIOR_ABORT has frozen outcome BEHAVIOR_ABORT, profile OD1_CONSTRUCTOR, policy OD-1-RESERVE-FIRST, and source row 8e263f9df6eea30f37f9bec9ad32482d8f46529aade3c073a5734a35158b1b48.	FROZEN_PROTOCOL
PERFUNIT-04A592E9A160E690F975	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.SUCCESS	TRAIT-COLLECT-01	OD-1-RECOVERABLE-MUTATORS	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	04a592e9a160e690f975453d1205e44435d8323a0b51f54054dd214d5ad5c3ba	REPRESENTATIVE	TIMED_PRIMARY	OPG-B687657E6D24F584B757	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS has frozen outcome SUCCESS, profile OD1_CONSTRUCTOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 04a592e9a160e690f975453d1205e44435d8323a0b51f54054dd214d5ad5c3ba.	FROZEN_PROTOCOL
PERFUNIT-BC7030F0ABFD9AD3FA5D	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_OVERFLOW_TRAP	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.CAPACITY_OVERFLOW_TRAP	TRAIT-COLLECT-01	OD-1-RECOVERABLE-MUTATORS	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	bc7030f0abfd9ad3fa5dd87bbd4d5446b24c8ac12ece3bef88b0b90d957977ea	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_OVERFLOW_TRAP has frozen outcome CAPACITY_OVERFLOW_TRAP, profile OD1_CONSTRUCTOR, policy OD-1-RECOVERABLE-MUTATORS, and source row bc7030f0abfd9ad3fa5dd87bbd4d5446b24c8ac12ece3bef88b0b90d957977ea.	FROZEN_PROTOCOL
PERFUNIT-C6F11A648F37FEDFBBB1	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::OOM_ABORT	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.OOM_ABORT	TRAIT-COLLECT-01	OD-1-RECOVERABLE-MUTATORS	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	c6f11a648f37fedfbbb17f66bba350d5514784598c092e0beb678a063e01c5b1	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::OOM_ABORT has frozen outcome OOM_ABORT, profile OD1_CONSTRUCTOR, policy OD-1-RECOVERABLE-MUTATORS, and source row c6f11a648f37fedfbbb17f66bba350d5514784598c092e0beb678a063e01c5b1.	FROZEN_PROTOCOL
PERFUNIT-269F8F1586C71FBFD757	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::BEHAVIOR_ABORT	DENSE-COLLECT	DENSE-COLLECT.TRAIT-COLLECT-01.OUT.BEHAVIOR_ABORT	TRAIT-COLLECT-01	OD-1-RECOVERABLE-MUTATORS	OD1_CONSTRUCTOR	REQUIRED_IN_LOCK	269f8f1586c71fbfd757aafaec65a2178d13eff1ee4934d1641b3179c47c923e	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RECOVERABLE-MUTATORS::BEHAVIOR_ABORT has frozen outcome BEHAVIOR_ABORT, profile OD1_CONSTRUCTOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 269f8f1586c71fbfd757aafaec65a2178d13eff1ee4934d1641b3179c47c923e.	FROZEN_PROTOCOL
