obligation_id	record_kind	role	workload_or_operation	closure_owner_or_gate_stage	owner_lock_disposition	implicated_rebind_disposition	binding_kind	member_contract_id	outcome_id	control_or_witness_id	primary_canary_id	crosscut_canary_ids	canary_source_sha256	binding_authority
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	M	Ordered insert/remove and unordered `swap_remove`	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-INSERT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	M	Ordered insert/remove and unordered `swap_remove`	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-INSERT-UNIQ	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	M	Ordered insert/remove and unordered `swap_remove`	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-REMOVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	M	Ordered insert/remove and unordered `swap_remove`	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SWAP-REMOVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-B5540625EAF6FBE2	CAPABILITY_MATRIX	M	Swap two dynamic elements	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SWAP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-B5540625EAF6FBE2	CAPABILITY_MATRIX	M	Swap two dynamic elements	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SWAP-WITH-VIEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-7D51E1A35939B08B	CAPABILITY_MATRIX	M	Clear/truncate	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-CLEAR	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-7D51E1A35939B08B	CAPABILITY_MATRIX	M	Clear/truncate	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-TRUNCATE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	M	Deep clone and bulk move-append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-FRESH-CLONE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	M	Deep clone and bulk move-append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-CLONE-FROM	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	M	Deep clone and bulk move-append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-APPEND-MOVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	M	Deep clone and bulk move-append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-EXTEND-CLONE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-3CA94EB9140EFE9C	CAPABILITY_MATRIX	M	Stable retain and eager drain/splice	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-RETAIN	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-COMPACT	C-FAIL	33516c67f604fe3205677f77ce29e241c267161a5c0374f0a62ca69fe37d3bfe	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-3CA94EB9140EFE9C	CAPABILITY_MATRIX	M	Stable retain and eager drain/splice	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-RETAIN-MUT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-COMPACT	C-FAIL	33516c67f604fe3205677f77ce29e241c267161a5c0374f0a62ca69fe37d3bfe	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-3CA94EB9140EFE9C	CAPABILITY_MATRIX	M	Stable retain and eager drain/splice	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-EAGER-EXTRACT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-COMPACT	C-FAIL	33516c67f604fe3205677f77ce29e241c267161a5c0374f0a62ca69fe37d3bfe	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-3CA94EB9140EFE9C	CAPABILITY_MATRIX	M	Stable retain and eager drain/splice	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-EAGER-SPLICE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-COMPACT	C-FAIL	33516c67f604fe3205677f77ce29e241c267161a5c0374f0a62ca69fe37d3bfe	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-059A35CFB70D3665	CAPABILITY_MATRIX	O	Lazy drain cursor	F-DENSE	OPTIONAL_NOT_PROMOTED	NOT_APPLICABLE_REOPENING_ONLY	EXCLUDED_MEMBER	DENSE-LAZY-DRAIN-EVIDENCE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-LAZY-DRAIN	C-FAIL	cfba0b8f5cf24fd22b0dcc01aacd81528081f2f2beee59f9965cfaee3b62659a	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-DEE68BBB5BE8CE36	CAPABILITY_MATRIX	M	Generic unstable and stable sort	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SORT-STABLE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SORT	C-FAIL	11e741b6c0f32ff43eea8b3dd440349e6c19b7710c50d569cf910cb4f7ac7b15	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-DEE68BBB5BE8CE36	CAPABILITY_MATRIX	M	Generic unstable and stable sort	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SORT-STABLE-CACHED-KEY	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SORT	C-FAIL	11e741b6c0f32ff43eea8b3dd440349e6c19b7710c50d569cf910cb4f7ac7b15	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-DEE68BBB5BE8CE36	CAPABILITY_MATRIX	M	Generic unstable and stable sort	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SORT-UNSTABLE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SORT	C-FAIL	11e741b6c0f32ff43eea8b3dd440349e6c19b7710c50d569cf910cb4f7ac7b15	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-A1429BB8CF6BDF06	CAPABILITY_MATRIX	M	Stack adapter	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-PUSH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-A1429BB8CF6BDF06	CAPABILITY_MATRIX	M	Stack adapter	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-POP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-F134B31BF832F055	CAPABILITY_MATRIX	B	Append-only AST/DAG/graph	ALL-FAMILY-LOCKS	PROTECTED_CONTROL	PROTECTED_CONTROL	CONTROL	NONE	NONE	B-P2	C-P2	C-FAIL	6c26fbc2de6c25ddfbc23f19f26cddcd69ca10e8c8bcfde08022c30687e49191	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-NEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-WITH-CAPACITY	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-META	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-PUSH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-POP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-INSERT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-REMOVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-OWNER-VIEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-ITER-SHARED	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	W	Inline-to-heap small sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-DROP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SMALL	C-FAIL	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-7202D07BC89E6CB7	CAPABILITY_MATRIX	M	Borrowed, uniq, and owning iteration	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-ITER-SHARED	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-ITER	C-FAIL	17f02ef16e8c8138c67dc1b509ac0045a84d51324164413c743f64b7906ae76f	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-7202D07BC89E6CB7	CAPABILITY_MATRIX	M	Borrowed, uniq, and owning iteration	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-ITER-UNIQ	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-ITER	C-FAIL	17f02ef16e8c8138c67dc1b509ac0045a84d51324164413c743f64b7906ae76f	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-7202D07BC89E6CB7	CAPABILITY_MATRIX	M	Borrowed, uniq, and owning iteration	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-ITER-OWN	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-ITER	C-FAIL	17f02ef16e8c8138c67dc1b509ac0045a84d51324164413c743f64b7906ae76f	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-WITNESS-18CD5E98145F3B1C	WITNESS_REGISTRY	B	B-FIX	ALL-FAMILY-LOCKS	PROTECTED_CONTROL	PROTECTED_CONTROL	CONTROL	NONE	NONE	B-FIX	B-FIX	C-FAIL	bb864c46adfecb28422044c6d07efccca185d6dac4ee180ab855aac8a94162dc	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-WITNESS-5F1AC19FA98BCFAF	WITNESS_REGISTRY	B	B-P2	ALL-FAMILY-LOCKS	PROTECTED_CONTROL	PROTECTED_CONTROL	CONTROL	NONE	NONE	B-P2	B-P2	C-FAIL	24208891fd4fc05aa9e8db4b4b11052ea3e4c9067687d25deca3644be2b9d267	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
