schedule_id	shape_id	operation_order	operation_count_rule	reset_rule	status
SCHED-PAYLOAD-ROW24	PAYLOAD-ROW24	Timed separating witness for ROW24.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-ROW56	PAYLOAD-ROW56	Timed separating witness for ROW56.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-U64	PAYLOAD-U64	Timed separating witness for U64.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-U8	PAYLOAD-U8	Timed separating witness for U8.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-ZST	PAYLOAD-ZST	Timed separating witness for ZST.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PROTECTED-B-FIX	PROTECTED-B-FIX	Exact structural B-FIX control on the target layout.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PROTECTED-B-P2	PROTECTED-B-P2	Exact structural B-P2 control on the target layout.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PROTECTED-H-FLATSET	PROTECTED-H-FLATSET	Exact structural H-FLATSET control on the target layout.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PROTECTED-W-GAP	PROTECTED-W-GAP	Exact structural W-GAP control on the target layout.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PROTECTED-W-SMALL	PROTECTED-W-SMALL	Exact structural W-SMALL control on the target layout.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-RETAIN-10	RETAIN-10	Exactly 10 percent survivors with stable seeded positions.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-RETAIN-50	RETAIN-50	Exactly 50 percent survivors with stable seeded positions.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-RETAIN-90	RETAIN-90	Exactly 90 percent survivors with stable seeded positions.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SCOPED-CONTINUE	SCOPED-CONTINUE	Consumer continues through every selected owner in source order.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SCOPED-EARLY-STOP	SCOPED-EARLY-STOP	Consumer stops after exactly 50 percent of selected owners; repair completes before return.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SORT-DUPLICATE-90	SORT-DUPLICATE-90	Exactly 90 percent duplicate keys at seeded positions.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SORT-ORGAN-PIPE	SORT-ORGAN-PIPE	Increasing to the midpoint then decreasing.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SORT-RANDOM	SORT-RANDOM	Seeded random permutation of unique keys.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SORT-REVERSE	SORT-REVERSE	Strictly decreasing keys.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SORT-SORTED	SORT-SORTED	Strictly increasing keys.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-BACK-REPL-EQUAL	SPLICE-BACK-REPL-EQUAL	back removal range with equal replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-BACK-REPL-LONGER	SPLICE-BACK-REPL-LONGER	back removal range with longer replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-BACK-REPL-SHORTER	SPLICE-BACK-REPL-SHORTER	back removal range with shorter replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-FRONT-REPL-EQUAL	SPLICE-FRONT-REPL-EQUAL	front removal range with equal replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-FRONT-REPL-LONGER	SPLICE-FRONT-REPL-LONGER	front removal range with longer replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-FRONT-REPL-SHORTER	SPLICE-FRONT-REPL-SHORTER	front removal range with shorter replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-MIDDLE-REPL-EQUAL	SPLICE-MIDDLE-REPL-EQUAL	middle removal range with equal replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-MIDDLE-REPL-LONGER	SPLICE-MIDDLE-REPL-LONGER	middle removal range with longer replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SPLICE-MIDDLE-REPL-SHORTER	SPLICE-MIDDLE-REPL-SHORTER	middle removal range with shorter replacement.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SWAP-ADJACENT-MIDDLE	SWAP-ADJACENT-MIDDLE	The two valid adjacent middle indices.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SWAP-EQUAL	SWAP-EQUAL	left=right=floor(len/2); exact no-op owner identity.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-SWAP-FRONT-BACK	SWAP-FRONT-BACK	left=0 and right=len-1.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
