impl_key	selection_family	owning_contract_ids	trait_path	trait_application	implementer	impl_signature	associated_bindings	required_method_shapes	stability	stable_since	stable_surface_reachable	stable_surface_note	ownership_shape	rustdoc_identity	rustdoc_aliases	source_identity	source_snippet_sha256
a5e357372d65dbc103f0d4d7dccb59fd6d695142ebfd9b1f7068ab67c4682a77	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<[u8]>	str	impl AsRef<[u8]> for str	NONE	fn as_ref(&self) -> &[u8]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.slice.html#impl-AsRef%3C%5Bu8%5D%3E-for-str	core/primitive.str.html#impl-AsRef%3C%5Bu8%5D%3E-for-str	library/core/src/str/mod.rs:3158-3163	ea318fa9b7aad0979ba76fb0c43a2ae43a7dcd9991e6a74a2e2de21fa01ad2a3
05aca9442f7af25145b5b8cd87fd14d2cbf75e164df2fa472aebafba8e905d5e	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<str>	String	impl AsRef<str> for String	NONE	fn as_ref(&self) -> &str	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-AsRef%3Cstr%3E-for-String	NONE	library/alloc/src/string.rs:3096-3101	019b528707394e75ff4b84b4ed073ea507ff2a0f315deb4c2d0c866edccf5b24
9a5edc03a41bea6953fc7f8e9fdd9261bb96520fae87780853f1ac4a35141555	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<str>	str	impl AsRef<str> for str	NONE	fn as_ref(&self) -> &str	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.str.html#impl-AsRef%3Cstr%3E-for-str	NONE	library/core/src/convert/mod.rs:864-869	be0ee62a3ab218971ff864ede6e9ebcb4459e58e358274445b31233b0f0a86b7
4cbea4e0a26f4f687a26ad1c80b656716b39b6e8f4862ec3a1e10b67f30c6522	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<[T]>	Vec<T, A>	impl<T, A: Allocator> AsRef<[T]> for Vec<T, A>	NONE	fn as_ref(&self) -> &[T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/vec/struct.Vec.html#impl-AsRef%3C%5BT%5D%3E-for-Vec%3CT,+A%3E	NONE	library/alloc/src/vec/mod.rs:4324-4328	fddcbbb90cd79abb6a65b9af408237b129da5001da23ba928e9e5d58ffbef42c
b9e5f0dabd754369c64b21367b8cd72dd7931f2a7b48f451015384edf5dbfb8d	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<[T]>	[T; N]	impl<T, const N: usize> AsRef<[T]> for [T; N]	NONE	fn as_ref(&self) -> &[T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.array.html#impl-AsRef%3C%5BT%5D%3E-for-%5BT;+N%5D	core/primitive.slice.html#impl-AsRef%3C%5BT%5D%3E-for-%5BT;+N%5D	library/core/src/array/mod.rs:206-211	39619aa1554d08abb4aa11c1cd5b343a7e8cfaeb750fb7d753b0384343de2e48
d688fec3b0972933aa78f992d581c99a5ad1abc6e3df96f93d208d3b2457efd1	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<T>	Box<T, A>	impl<T: ?Sized, A: Allocator> AsRef<T> for Box<T, A>	NONE	fn as_ref(&self) -> &T	stable	1.5.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-AsRef%3CT%3E-for-Box%3CT,+A%3E	NONE	library/alloc/src/boxed.rs:2349-2353	5cb7595d08791580fbc48260901a025824385483820e3bfdbae89cba6ac5dbbb
f84dfac3e8c14e84f4bdb44599aa6c1f535d7c155e98d2cf0ae9cab9d0fbc826	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<T>	Rc<T, A>	impl<T: ?Sized, A: Allocator> AsRef<T> for Rc<T, A>	NONE	fn as_ref(&self) -> &T	stable	1.5.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/rc/struct.Rc.html#impl-AsRef%3CT%3E-for-Rc%3CT,+A%3E	NONE	library/alloc/src/rc.rs:3856-3860	4651ad54b1e66314d74c1cc2e7b3c0c0dbc1cfbe62dcb702e5e5cefa576f3d97
75fef80f49e746ab56f71613a7c604d2ba41ee48486f8c6610c50434d7dd2430	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<[T]>	[T]	impl<T> AsRef<[T]> for [T]	NONE	fn as_ref(&self) -> &[T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.slice.html#impl-AsRef%3C%5BT%5D%3E-for-%5BT%5D	NONE	library/core/src/convert/mod.rs:846-851	f641062465b2cad7ac9ebb4fb4b87d65c8479abc9a54aa95991d12431bdb300d
d483680f7faefc65addbf2924bbfa14e98d5c9ba423bd9e6f4760d32365b3845	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Box<str>	impl Clone for Box<str>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.3.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-Clone-for-Box%3Cstr%3E	NONE	library/alloc/src/boxed.rs:2110-2116	5efae78cc5a2b8f56981cc801411122729c49a66ee2aeb86484c4c45010170fc
4b50098fc2958f28c8540dcef6a1add57ee086b06c7a49e0eedcef63507b499a	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	String	impl Clone for String	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-Clone-for-String	NONE	library/alloc/src/string.rs:2363-2375	6f05f7df16f6174922fde388d182ad9ce3bb7b355186dc0ff13c01cc87e81857
2063a743b1edbda3ebf211b3ff39badee9050691878f2bc093be6c9da7e7c949	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	BTreeMap<K, V, A>	impl<K: Clone, V: Clone, A: Allocator + Clone> Clone for BTreeMap<K, V, A>	NONE	fn clone(&self) -> BTreeMap<K, V, A> | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/btree_map/struct.BTreeMap.html#impl-Clone-for-BTreeMap%3CK,+V,+A%3E	NONE	library/alloc/src/collections/btree/map.rs:226-309	143fd990df5729cf3915079304f1f5e4ddf5a3c1cb578dca163bcf3b8982ace4
e5975d87d9c7406cb99bd4182f9cc36e734dc3a0eb6a89c0d94aaf344236c597	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Rc<T, A>	impl<T: ?Sized, A: Allocator + Clone> Clone for Rc<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/rc/struct.Rc.html#impl-Clone-for-Rc%3CT,+A%3E	NONE	library/alloc/src/rc.rs:2501-2523	cd84545898b5e4765afcd4553d7a5cb56c591902deab692d491f21ac5be62702
d38393b3e60a2cdfd0b29bd9cc38011f48a43864afff3968d696ffd2824a7d09	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Weak<T, A>	impl<T: ?Sized, A: Allocator + Clone> Clone for Weak<T, A>	NONE	fn clone(&self) -> Weak<T, A> | fn clone_from(&mut self, source: &Self)	stable	1.4.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/rc/struct.Weak.html#impl-Clone-for-Weak%3CT,+A%3E	NONE	library/alloc/src/rc.rs:3692-3711	a0ac8c1dc09389e776ae0c8abb843b6e33dc6be2085fed39cbbad88628a0464f
98a7dfddd72fcd60a7a024790ae0705669fb700ca73ee046b5a46dcccb02b6b5	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	BTreeSet<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for BTreeSet<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/btree_set/struct.BTreeSet.html#impl-Clone-for-BTreeSet%3CT,+A%3E	NONE	library/alloc/src/collections/btree/set.rs:117-125	d293662b38fc414b2c35d6c16cf50b35f70784e5104d7f73dc7d38743287a349
c33548a3281e959a08393c0c0a3ee628fcbdaa168143218cd6b76014d333427d	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	BinaryHeap<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for BinaryHeap<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/binary_heap/struct.BinaryHeap.html#impl-Clone-for-BinaryHeap%3CT,+A%3E	NONE	library/alloc/src/collections/binary_heap/mod.rs:452-466	2341c27bec2c9c396e9229b418c87641159d07863f4c0f9cac7bac47d991a590
a50ecabdddd8f4e60e26b8eb1e3d92a7e8bb64daafbb00f91c4f11e5c27c27ed	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Box<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for Box<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-Clone-for-Box%3CT,+A%3E	NONE	library/alloc/src/boxed.rs:2025-2071	8377fe9c7b4ea95fcaaaa494742b020854a8d137c533aa4ed78d5c4186e224a0
7220020ca11af6cbbfeb50b88a8d400426af8b8ca123d1f5cfac23c0a45a411a	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Box<[T], A>	impl<T: Clone, A: Allocator + Clone> Clone for Box<[T], A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.3.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-Clone-for-Box%3C%5BT%5D,+A%3E	NONE	library/alloc/src/boxed.rs:2075-2106	cba1caff252e5ce6e2de791756581453af902766b8d14f0d06405c5d4da5b61c
76f4e20b016a20d907a92c1a19b5bf4096e763a5f30047bb6036ae687bde0833	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	LinkedList<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for LinkedList<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/linked_list/struct.LinkedList.html#impl-Clone-for-LinkedList%3CT,+A%3E	NONE	library/alloc/src/collections/linked_list.rs:2155-2180	0fff779ae5d09da651db7cc8f1ad1c15c955f75b8f7ae45557a6278a9e8c7a9e
d51e52ab0eb198b09ea2e4eeb404b36ac81495d0dcf53a6370cc856fa467c259	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	Vec<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for Vec<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/vec/struct.Vec.html#impl-Clone-for-Vec%3CT,+A%3E	NONE	library/alloc/src/vec/mod.rs:3805-3836	7642a3fd5535c260871990b81ff47f0c12592c3e6fc77ae7656916ece1bf12e6
7419bfec659ba30103eb140bac2f6bb7770a2941bd7d7d44fc39ae94a7b6346a	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	VecDeque<T, A>	impl<T: Clone, A: Allocator + Clone> Clone for VecDeque<T, A>	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/vec_deque/struct.VecDeque.html#impl-Clone-for-VecDeque%3CT,+A%3E	NONE	library/alloc/src/collections/vec_deque/mod.rs:119-134	d3b74b5924321052e31331d85b5674cd228325bffe14a3e3ebb75a7bf04812bc
bde513b43313e11b9e055effb05f9f9a572d2393f3ccc886257951679a871fe3	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	[T; N]	impl<T: Clone, const N: usize> Clone for [T; N]	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, other: &Self)	stable	1.58.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.array.html#impl-Clone-for-%5BT;+N%5D	NONE	library/core/src/array/mod.rs:447-457	cc09d37abe5a743babd62212d762aee68cb0e11be2cdadd5cd05cf6939f8207f
2a2e0d22cc9ed00c1ed009973e784d33ad2b1fd046edc04d3621d93a7282f3c5	CLONE	TRAIT-CLONE-01	core::clone::Clone	Clone	RefCell<T>	impl<T: Clone> Clone for RefCell<T>	NONE	fn clone(&self) -> RefCell<T> | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/cell/struct.RefCell.html#impl-Clone-for-RefCell%3CT%3E	NONE	library/core/src/cell.rs:1442-1460	b4f601b2e2b2729a4e3f9fa47e420236cfb8bc080cb565f2cc7828d0b1e16cc3
8e62bf77b71de8ee143474183e05b933467b3b18d043f106c86cd614a97ddac4	CLONE	TRAIT-CLONE-01	std::clone::Clone	Clone	HashMap<K, V, S, A>where K: Clone, V: Clone, S: Clone, A: Allocator + Clone,	impl<K, V, S, A> Clone for HashMap<K, V, S, A>where K: Clone, V: Clone, S: Clone, A: Allocator + Clone,	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, source: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	std/collections/hash_map/struct.HashMap.html#impl-Clone-for-HashMap%3CK,+V,+S,+A%3E	NONE	library/std/src/collections/hash/map.rs:1430-1446	d1a797275ec6b7f9ad7f7d1dd7a54a69cb0f4933ebabdaeb804d6b9bf8a7543b
0cf3bb5e046c2512127d99c2312661384d4fc17fe9a6b6fcc4ad5ed0e698ed37	CLONE	TRAIT-CLONE-01	std::clone::Clone	Clone	HashSet<T, S, A>where T: Clone, S: Clone, A: Allocator + Clone,	impl<T, S, A> Clone for HashSet<T, S, A>where T: Clone, S: Clone, A: Allocator + Clone,	NONE	fn clone(&self) -> Self | fn clone_from(&mut self, other: &Self)	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	std/collections/hash_set/struct.HashSet.html#impl-Clone-for-HashSet%3CT,+S,+A%3E	NONE	library/std/src/collections/hash/set.rs:1124-1143	c8eda218bab2d1a1423e507fb1d8f16b4460308aa631c0ef2de46ed02e19661b
268125aaa640d7a0b989d44f336e21ceb1e6d433972e92f817747d871c2b0d1c	COMPARISON_HASH	TRAIT-CMP-01	core::cmp::Eq	Eq	String	impl Eq for String	NONE	NONE	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-Eq-for-String	NONE	library/alloc/src/string.rs:350-350	1193f35f8f94d834eab20eb4cc417f89e6d231df3d7597f1c5eb25e26315dea6
635a76739d50ee3ca1bd6b17c09ba91ee3cf2eabec5d48933fc1df171d3b00c8	COMPARISON_HASH	TRAIT-CMP-01	core::cmp::Eq	Eq	str	impl Eq for str	NONE	NONE	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.str.html#impl-Eq-for-str	NONE	library/core/src/str/traits.rs:36-36	370b4a466d5ec11d33693afdbd1e165af06c4448fdabf033114a5a4b7c68d21a
18d1bc664b73f0156b505097a649452bcb66678e90b909869900639e931eb05c	COMPARISON_HASH	TRAIT-CMP-01	core::cmp::Eq	Eq	BTreeMap<K, V, A>	impl<K: Eq, V: Eq, A: Allocator + Clone> Eq for BTreeMap<K, V, A>	NONE	NONE	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/collections/btree_map/struct.BTreeMap.html#impl-Eq-for-BTreeMap%3CK,+V,+A%3E	NONE	library/alloc/src/collections/btree/map.rs:2612-2612	2fb3d064f819da72478c44eaf8e7afd23ae90b628728c5c06e643b410321b302
